District,TotPopulation,Male,Female,Hijra,Sex_Ratio,EthnicPopulation,Muslim,Hindu,Buddhist,Christian,Others,Literacy,Male_Literacy,Female_Literacy,Hijra_Literacy,Household,Slum_Household,Slum_Pop,Float_Household,Float_Pop,Other_Household,Other_HH_Pop,Household_Size,Pop_Density
Barguna,"1,010,530","494,625","515,608",96,95.93,"1,131",92.75,6.87,0.31,0.02,0,80.49,82.1,78.96,73.63,"255,390",454,"1,802",43,46,"254,893","1,008,682",3.96,552
Barishal,"2,570,450","1,254,840","1,314,423",151,95.47,843,88.8,10.7,0.01,0.43,0,79.62,80.57,78.73,63.89,"629,842",8636,"33,163",735,"1,820","620,471","2,535,467",4.08,923
Bhola,"1,932,514","945,076","985,131",129,95.93,773,97.07,2.87,0,0.01,0,67.12,67.03,67.2,59.84,"448,933",165,726,35,37,"448,733","1,931,751",4.3,568
Jhalokati,"661,161","316,521","344,424",40,91.9,203,90.66,9.28,0,0.02,0,83.08,84.01,82.25,63.16,"162,403",231,955,47,53,"162,125","660,153",4.07,935
Patuakhali,"1,727,254","843,027","883,656",93,95.4,"1,111",93.59,6.22,0.08,0.02,0,76.54,78.46,74.73,64.04,"424,745",426,"1,858",127,136,"424,192","1,725,260",4.07,536
Pirojpur,"1,198,193","582,661","615,179",54,94.71,120,84.84,15.1,0,0.01,0,85.41,85.88,84.97,71.15,"298,488",97,373,83,89,"298,308","1,197,731",4.01,938
Bandarban,"481,109","246,590","234,035",17,105.36,"197,975",52.68,3.42,29.52,9.78,4.61,63.64,68.86,58.14,31.25,"106,167",1,2,93,93,"106,073","481,014",4.53,107
Brahmanbaria,"3,306,559","1,537,743","1,767,766",202,86.99,672,93.24,6.68,0.01,0.02,0.05,72.01,71.63,72.33,45.92,"712,613","1,765",8369,638,665,"710,210","3,297,525",4.64,"1,758"
Chandpur,"2,635,748","1,228,774","1,405,682",132,87.41,"2,863",94.37,5.55,0.01,0.02,0.05,78.05,78.26,77.86,55.12,"635,458","3,440",13831,141,163,"631,877","2,621,754",4.15,"1,602"
Chattogram,"9,169,464","4,566,039","4,597,076",645,99.32,"48,144",87.47,10.7,1.63,0.09,0.11,80.85,82.66,79.07,52.25,"2,143,958","81,958",304235,"2,004",2161,"2,059,996","8,863,068",4.28,"1,736"
